task_number	 question_number	 questionnaire_name	 question_nameeeeeeeeeeeee	 question_response	 attempt	 study_name	 session_id
2	0	realstart	commit	I will complete this study with my full attention	1	jiang.selfother1	10287541
2	0	realstart	commitrt	37166	1	jiang.selfother1	10287541
4	1	otherwords1	ow1choosert	108036	1	jiang.selfother1	10287541
4	1	otherwords1	ow1choose	2	1	jiang.selfother1	10287541
4	2	otherwords1	ow1scalert	21360	1	jiang.selfother1	10287541
4	2	otherwords1	ow1scale	3	1	jiang.selfother1	10287541
4	3	otherwords1	ow1valmaple	6	1	jiang.selfother1	10287541
4	3	otherwords1	ow1valmaplert	27214	1	jiang.selfother1	10287541
4	4	otherwords1	ow1cogaffmaple	1	1	jiang.selfother1	10287541
4	4	otherwords1	ow1cogaffmaplert	40933	1	jiang.selfother1	10287541
4	5	otherwords1	ow1valoakrt	6200	1	jiang.selfother1	10287541
4	5	otherwords1	ow1valoak	6	1	jiang.selfother1	10287541
4	6	otherwords1	ow1cogaffoakrt	15456	1	jiang.selfother1	10287541
4	6	otherwords1	ow1cogaffoak	7	1	jiang.selfother1	10287541
6	1001	iatselfcog	block3Cond	Thinking/Other,Feeling/Self	1	jiang.selfother1	10287541
6	1002	iatselfcog	feedback	Your data suggest a slight automatic association for Other with Thinking and Self with Feeling.	1	jiang.selfother1	10287541
6	1003	iatselfcog	d	-0.17	1	jiang.selfother1	10287541
2	0	realstart	commit	I will complete this study with my full attention.	1	jiang.selfother1	10287542
2	0	realstart	commitrt	59564	1	jiang.selfother1	10287542
4	1	otherwords2	ow2choose	2	1	jiang.selfother1	10287542
4	1	otherwords2	ow2choosert	63253	1	jiang.selfother1	10287542
4	2	otherwords2	ow2scale	1	1	jiang.selfother1	10287542
4	2	otherwords2	ow2scalert	8568	1	jiang.selfother1	10287542
4	3	otherwords2	ow2valoakrt	8249	1	jiang.selfother1	10287542
4	3	otherwords2	ow2valoak	7	1	jiang.selfother1	10287542
4	4	otherwords2	ow2cogaffoakrt	19361	1	jiang.selfother1	10287542
4	4	otherwords2	ow2cogaffoak	7	1	jiang.selfother1	10287542
4	5	otherwords2	ow2valmaple	7	1	jiang.selfother1	10287542
4	5	otherwords2	ow2valmaplert	4905	1	jiang.selfother1	10287542
4	6	otherwords2	ow2cogaffmaple	2	1	jiang.selfother1	10287542
4	6	otherwords2	ow2cogaffmaplert	19881	1	jiang.selfother1	10287542
6	1001	iatselfcog	block3Cond	Feeling/Other,Thinking/Self	1	jiang.selfother1	10287542
6	1002	iatselfcog	feedback	Your data suggest little or no automatic association between Self and Other with Thinking and Feeling.	1	jiang.selfother1	10287542
6	1003	iatselfcog	d	-0.08	1	jiang.selfother1	10287542
2	0	realstart	commit	i will complete this study with my full attention.	1	jiang.selfother1	10287549
2	0	realstart	commitrt	92772	1	jiang.selfother1	10287549
4	1	otherimages2	oi2choose	2	1	jiang.selfother1	10287549
4	1	otherimages2	oi2choosert	27430	1	jiang.selfother1	10287549
4	2	otherimages2	oi2scale	2	1	jiang.selfother1	10287549
4	2	otherimages2	oi2scalert	27021	1	jiang.selfother1	10287549
4	3	otherimages2	oi2valNorth	6	1	jiang.selfother1	10287549
4	3	otherimages2	oi2valNorthrt	21431	1	jiang.selfother1	10287549
4	4	otherimages2	oi2cogaffNorth	7	1	jiang.selfother1	10287549
4	4	otherimages2	oi2cogaffNorthrt	18320	1	jiang.selfother1	10287549
4	5	otherimages2	oi2valRich	6	1	jiang.selfother1	10287549
4	5	otherimages2	oi2valRichrt	6846	1	jiang.selfother1	10287549
4	6	otherimages2	oi2cogaffRichrt	7752	1	jiang.selfother1	10287549
4	6	otherimages2	oi2cogaffRich	2	1	jiang.selfother1	10287549
6	1001	iatselfcog	block3Cond	Thinking/Other,Feeling/Self	1	jiang.selfother1	10287549
6	1002	iatselfcog	feedback	Your data suggest a moderate automatic association for Other with Thinking and Self with Feeling.	1	jiang.selfother1	10287549
6	1003	iatselfcog	d	-0.42	1	jiang.selfother1	10287549
