key_id,roof,wall type,floor,rooms,size,data_collector,year
1,Grass,muddaub,errth,1,small,EB ,2018
2,grass,muddaub,earth,1,large,EB ,2020
3,mabati_sloping,burntbricks,cement,4,large, TS,2017
4,mabatisloping,burntbricks,earth,1,small, TS,2020
5,grass,burntbricks,earth,1,small,EB ,2019
6,grass,muddaub,NA,1,large,EB ,2020
7,grass,muddaub,earth,1,large, TS,2020
8,mabatisloping,BurntBricks,cement,3,small, TS,2019
9,Grass,BurntBricks,earth,1,large, TS,2020
10,mabatisloping,burntbricks,cement,9,large, TS,2017
11,grass,muddaub,errth,2,small,EB ,2018
12,grass,muddaub,earth,4,small,EB ,2020
13,mabati_sloping,burntbricks,cement,2,large, TS,2017
14,mabatisloping,burntbricks,earth,1,large, TS,2020
15,grass,burntbricks,earth,2,small,EB ,2019
16,grass,muddaub,earth,1,small,EB ,2020
17,grass,muddaub,earth,3,small,EB ,2020
18,Grass,burntbricks,cement,12,small,EB ,2019
19,grass,burntbricks,earth,8,large, TS,2020
20,mabati_sloping,burntbricks,earth,6,large, TS,2017
21,mabatisloping,burntbricks,earth,7,small,EB ,2018
22,grass,muddaub,earth,3,large,EB ,2020
23,Grass,muddaub,earth,4,large, TS,2017
24,grass,burntbricks,earth,6,small, TS,2020
25,mabatisloping,burntbricks,cement,7,small, TS,2019
26,grass,burntbricks,earth,8,large, TS,2020
27,mabatisloping,muddaub,earth,2,large,EB ,2020
28,mabati_sloping,muddaub,earth,3,small,EB ,2019
29,mabatisloping,BurntBricks,earth,4,small, TS,2020
30,grass,burntbricks,cement,2,large, TS,2017
31,grass,burntbricks,earth,1,large,EB ,2020
32,Grass,muddaub,cement,5,small,EB ,2019
33,grass,muddaub,earth,7,small, TS,2020
34,mabati_sloping,burntbricks,earth,5,large, TS,2017
35,mabatisloping,burntbricks,earth,3,large, TS,2018
36,grass,burntbricks,earth,3,small, TS,2020
37,grass,burntbricks,earth,3,small,EB ,2017
38,grass,burntbricks,cement,7,small, TS,2020
39,Grass,muddaub,earth,8,small, TS,2019
40,mabati_sloping,muddaub,earth,9,large,EB ,2020
41,mabatisloping,burntbricks,earth,7,large,EB ,2020
42,grass,burntbricks,earth,3,small, TS,2020
43,grass,burntbricks,earth,4,large, TS,2019
44,grass,burntbricks,NA,6,large, TS,2020
45,mabatisloping,muddaub,earth,7,small, TS,2017
46,grass,muddaub,NA,8,small,EB ,2018
47,grass,muddaub,earth,7,large,EB ,2020
48,grass,burntbricks,cement,3,large, TS,2017
49,mabati_sloping,burntbricks,earth,4,small, TS,2020
50,mabatisloping,burntbricks,earth,6,small,EB ,2019
51,grass,muddaub,earth,7,small,EB ,2020
52,grass,burntbricks,earth,8,small, TS,2020
53,grass,muddaub,earth,2,large, TS,2019
54,mabatisloping,muddaub,earth,3,large, TS,2020
55,grass,burntbricks,cement,4,small, TS,2017
56,mabatisloping,burntbricks,earth,2,large,EB ,2018
57,grass,burntbricks,earth,7,large,EB ,2020
58,grass,burntbricks,earth,2,small,EB ,2017
